# Logfile created on 2026-03-25 02:33:05 +0100 by logger.rb/v1.5.3
2026-03-25 02:33:05 +0100: Memory Usage (435848K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/Design/xschem/HPAmplifier/OTA_Telescopic_backup/OTA_Telescopic_NO_FLATTEN/Layout_and_Related_files/OTA_Telescopic_TOP_wp.gds
2026-03-25 02:33:05 +0100: Memory Usage (435848K) : Ruby Version for klayout: 3.2.3
2026-03-25 02:33:05 +0100: Memory Usage (435892K) : Loading database to memory is complete.
2026-03-25 02:33:05 +0100: Memory Usage (435892K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/Design/xschem/HPAmplifier/OTA_Telescopic_backup/OTA_Telescopic_NO_FLATTEN/Layout_and_Related_files/drc_run_OTA_Telescopic_TOP_wp/OTA_Telescopic_TOP_wp_OTA_Telescopic_TOP_wp_topvia2.lyrdb
2026-03-25 02:33:05 +0100: Memory Usage (435892K) : Evaluate switches.
2026-03-25 02:33:05 +0100: Memory Usage (435892K) : tables selected: topvia2
2026-03-25 02:33:05 +0100: Memory Usage (435892K) : KLayout will use 4 thread(s) in tiled mode.
2026-03-25 02:33:05 +0100: Memory Usage (435892K) : deep mode is enabled.
2026-03-25 02:33:05 +0100: Memory Usage (435892K) : FEOL enabled: false
2026-03-25 02:33:05 +0100: Memory Usage (435892K) : BEOL enabled: false
2026-03-25 02:33:05 +0100: Memory Usage (435892K) : OFFGRID enabled: true
2026-03-25 02:33:05 +0100: Memory Usage (435892K) : PIN enabled: false
2026-03-25 02:33:05 +0100: Memory Usage (435892K) : FORBIDDEN enabled: false
2026-03-25 02:33:05 +0100: Memory Usage (435892K) : RECOMMENDED enabled: true
2026-03-25 02:33:05 +0100: Memory Usage (435892K) : PreCheck DRC enabled: false
2026-03-25 02:33:05 +0100: Memory Usage (435892K) : CONNECTIVITY_RULES enabled: false.
2026-03-25 02:33:05 +0100: Memory Usage (435892K) : Read in polygons from layers.
2026-03-25 02:33:05 +0100: Memory Usage (437572K) : activ_drw has 5032 polygons
2026-03-25 02:33:05 +0100: Memory Usage (437572K) : activ_pin has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (437572K) : activ_mask has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (437572K) : activ_filler has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (437572K) : activ_nofill has 0 polygons
